Year,Month,Number of Employees,Total Windows Assets,Total MAC Assets,Windows Assets Purchased,MAC Assets Purchased,Windows Assets Expiring,MAC Assets Expiring
1980,Apr,4200,2520,1680,210,168,126,84
1980,May,4603,2761,1841,230,184,138,92
1980,Jun,5006,3003,2002,250,200,150,100
1980,Jul,5409,3245,2163,270,216,162,108
1980,Aug,5812,3487,2324,290,232,174,116
1980,Sep,6216,3729,2486,310,248,186,124
1980,Oct,5988,3592,2395,299,239,179,119
1980,Nov,6353,3811,2541,317,254,190,127
1980,Dec,6718,4030,2687,335,268,201,134
1980,Jan,7084,4250,2833,354,283,212,141
1980,Feb,7448,4468,2979,372,297,223,148
1980,Mar,7813,4687,3125,390,312,234,156
1981,Apr,9039,5423,3615,451,361,271,180
1981,May,9442,5665,3776,472,377,283,188
1981,Jun,9845,5907,3938,492,393,295,196
1981,Jul,10249,6149,4099,512,409,307,204
1981,Aug,10652,6391,4260,532,426,319,213
1981,Sep,11055,6633,4422,552,442,331,221
1981,Oct,10367,6220,4146,518,414,311,207
1981,Nov,10732,6439,4292,536,429,321,214
1981,Dec,11096,6657,4438,554,443,332,221
1981,Jan,11461,6876,4584,573,458,343,229
1981,Feb,11826,7095,4730,591,473,354,236
1981,Mar,12191,7314,4876,609,487,365,243
1982,Apr,13877,8326,5550,693,555,416,277
1982,May,14282,8569,5712,714,571,428,285
1982,Jun,14685,8811,5874,734,587,440,293
1982,Jul,15088,9052,6035,754,603,452,301
1982,Aug,15491,9294,6196,774,619,464,309
1982,Sep,15894,9536,6357,794,635,476,317
1982,Oct,14745,8847,5898,737,589,442,294
1982,Nov,15110,9066,6044,755,604,453,302
1982,Dec,15475,9285,6190,773,619,464,309
1982,Jan,15840,9504,6336,792,633,475,316
1982,Feb,16205,9723,6482,810,648,486,324
1982,Mar,16569,9941,6627,828,662,497,331
1983,Apr,18717,11230,7486,935,748,561,374
1983,May,19120,11472,7648,956,764,573,382
1983,Jun,19523,11713,7809,976,780,585,390
1983,Jul,19926,11955,7970,996,797,597,398
1983,Aug,20330,12198,8132,1016,813,609,406
1983,Sep,20733,12439,8293,1036,829,621,414
1983,Oct,19124,11474,7649,956,764,573,382
1983,Nov,19489,11693,7795,974,779,584,389
1983,Dec,19854,11912,7941,992,794,595,397
1983,Jan,20218,12130,8087,1010,808,606,404
1983,Feb,20583,12349,8233,1029,823,617,411
1983,Mar,20948,12568,8379,1047,837,628,418
1984,Apr,23556,14133,9422,1177,942,706,471
1984,May,23959,14375,9583,1197,958,718,479
1984,Jun,24363,14617,9745,1218,974,730,487
1984,Jul,24766,14859,9906,1238,990,742,495
1984,Aug,25169,15101,10067,1258,1006,755,503
1984,Sep,25572,15343,10228,1278,1022,767,511
1984,Oct,23502,14101,9400,1175,940,705,470
1984,Nov,23866,14319,9546,1193,954,715,477
1984,Dec,24231,14538,9692,1211,969,726,484
1984,Jan,24596,14757,9838,1229,983,737,491
1984,Feb,24962,14977,9984,1248,998,748,499
1984,Mar,25327,15196,10130,1266,1013,759,506
1985,Apr,28396,17037,11358,1419,1135,851,567
1985,May,28799,17279,11519,1439,1151,863,575
1985,Jun,29202,17521,11680,1460,1168,876,584
1985,Jul,29605,17763,11842,1480,1184,888,592
1985,Aug,30009,18005,12003,1500,1200,900,600
1985,Sep,30412,18247,12164,1520,1216,912,608
1985,Oct,27880,16728,11152,1394,1115,836,557
1985,Nov,28245,16947,11298,1412,1129,847,564
